invoice_id,customer_id,invoice_date,due_date,period,product_id,product_description,product_category,quantity,unit_price,gross_amount,discount_amount,net_amount,tax_amount,total_amount,status,gl_entry_id,salesperson,territory,po_number,notes
INV-00001,CUST-001,2026-01-05,2026-02-04,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,71,4325.5,307110.74,0.0,307110.74,0.0,307110.74,Paid,GL-INV-00001,Sara Hill,International,PO-191161,
INV-00002,CUST-001,2026-01-03,2026-02-02,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,4,77175.38,308701.53,0.0,308701.53,0.0,308701.53,Paid,GL-INV-00002,Tom Kane,Southeast,PO-629903,
INV-00003,CUST-001,2026-01-23,2026-02-22,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,88426.46,75750.66,0.0,75750.66,0.0,75750.66,Paid,GL-INV-00003,Yuki Tanaka,West,PO-331148,
INV-00004,CUST-002,2026-01-06,2026-02-20,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,2,7083.06,14166.12,0.0,14166.12,0.0,14166.12,Paid,GL-INV-00004,Brett Long,Midwest,PO-391369,
INV-00005,CUST-002,2026-01-11,2026-02-25,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,221,1367.16,302143.23,0.0,302143.23,0.0,302143.23,Open,GL-INV-00005,Sara Hill,Northeast,PO-498382,
INV-00006,CUST-002,2026-01-20,2026-03-06,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,46,9117.36,419398.72,0.0,419398.72,0.0,419398.72,Paid,GL-INV-00006,Nadia Osei,Northeast,PO-865179,
INV-00007,CUST-002,2026-01-30,2026-03-16,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,275,726.34,199743.8,0.0,199743.8,0.0,199743.8,Open,GL-INV-00007,Brett Long,Northeast,PO-678856,
INV-00008,CUST-002,2026-01-28,2026-03-14,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,21,6855.09,143956.99,0.0,143956.99,0.0,143956.99,Paid,GL-INV-00008,Nadia Osei,International,PO-301629,
INV-00009,CUST-002,2026-01-08,2026-02-22,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,2,2916.66,5833.32,0.0,5833.32,0.0,5833.32,Paid,GL-INV-00009,Nadia Osei,Northeast,PO-996865,
INV-00010,CUST-003,2026-01-21,2026-02-20,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,49,7949.85,389542.45,0.0,389542.45,0.0,389542.45,Paid,GL-INV-00010,Nadia Osei,Southeast,PO-488162,
INV-00011,CUST-003,2026-01-23,2026-02-22,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,108,1014.17,109529.99,0.0,109529.99,0.0,109529.99,Open,,Sara Hill,International,PO-765822,SCENARIO: subledger entry exists; GL posting missing
INV-00012,CUST-003,2026-01-06,2026-02-05,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,274,1298.74,355854.22,0.0,355854.22,0.0,355854.22,Paid,GL-INV-00012,Brett Long,West,PO-383060,
INV-00013,CUST-004,2026-01-22,2026-03-08,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,45,22863.22,1028845.06,0.0,1028845.06,0.0,1028845.06,Paid,GL-INV-00013,Nadia Osei,Northeast,PO-340174,
INV-00014,CUST-004,2026-01-13,2026-02-27,2026-01,PROD-014,Clinical Trial Supply Kit,Clinical Supply,1,10461.98,8499.34,0.0,8499.34,0.0,8499.34,Open,GL-INV-00014,Nadia Osei,Northeast,PO-321231,
INV-00015,CUST-005,2026-01-21,2026-02-20,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,6,83186.9,499121.43,0.0,499121.43,0.0,499121.43,Paid,GL-INV-00015,Brett Long,West,PO-774079,
INV-00016,CUST-006,2026-01-18,2026-02-17,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,18,6250.77,112513.85,0.0,112513.85,0.0,112513.85,Written Off,GL-INV-00016,Yuki Tanaka,Midwest,PO-883300,SCENARIO: Written off in GL; subledger not updated
INV-00017,CUST-006,2026-01-13,2026-02-12,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,4,95578.74,382314.95,0.0,382314.95,0.0,382314.95,Paid,GL-INV-00017,Nadia Osei,Southeast,PO-245051,
INV-00018,CUST-006,2026-01-02,2026-02-01,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,4,23068.18,92272.74,0.0,92272.74,0.0,92272.74,Paid,GL-INV-00018,Sara Hill,Southeast,PO-757924,
INV-00019,CUST-007,2026-01-13,2026-02-27,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,14,23080.25,323123.5,0.0,323123.5,0.0,323123.5,Paid,GL-INV-00019,Brett Long,International,PO-590785,
INV-00020,CUST-007,2026-01-28,2026-03-14,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,3,28569.24,85707.72,0.0,85707.72,0.0,85707.72,Paid,GL-INV-00020,Sara Hill,Northeast,PO-814825,
INV-00021,CUST-007,2026-01-25,2026-03-11,2026-01,PROD-015,BioProcess Training Service,Professional Service,18,4350.88,78315.8,0.0,78315.8,0.0,78315.8,Paid,GL-INV-00021,Nadia Osei,Northeast,PO-407757,
INV-00022,CUST-008,2026-01-29,2026-02-28,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,4,887.99,3551.98,0.0,3551.98,0.0,3551.98,Paid,GL-INV-00022,Nadia Osei,International,PO-898975,
INV-00023,CUST-008,2026-01-28,2026-02-27,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,260,1353.79,351984.97,0.0,351984.97,0.0,351984.97,Paid,GL-INV-00023,Nadia Osei,International,PO-738551,SCENARIO: GL has duplicate posting for this invoice
INV-00024,CUST-009,2026-01-25,2026-02-24,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,83,983.1,81597.51,0.0,81597.51,0.0,81597.51,Paid,GL-INV-00024,Yuki Tanaka,Northeast,PO-728038,
INV-00025,CUST-009,2026-01-30,2026-03-01,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,251,859.63,215766.06,0.0,215766.06,0.0,215766.06,Paid,GL-INV-00025,Nadia Osei,Midwest,PO-351083,
INV-00026,CUST-009,2026-01-31,2026-03-02,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,4,5037.76,20151.04,0.0,20151.04,0.0,20151.04,Paid,GL-INV-00026,Sara Hill,Northeast,PO-867460,
INV-00027,CUST-010,2026-01-16,2026-03-02,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,17,7643.2,129934.44,0.0,129934.44,0.0,129934.44,Paid,GL-INV-00027,Yuki Tanaka,Southeast,PO-377932,
INV-00028,CUST-010,2026-01-30,2026-03-16,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,14,28527.27,399381.75,0.0,399381.75,0.0,399381.75,Paid,GL-INV-00028,Yuki Tanaka,Southeast,PO-847581,
INV-00029,CUST-010,2026-01-21,2026-03-07,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,2,7467.12,14934.24,0.0,14934.24,0.0,14934.24,Paid,GL-INV-00029,Nadia Osei,West,PO-642717,
INV-00030,CUST-011,2026-01-01,2026-01-31,2026-01,PROD-004,GenomiX Sequencing Panel,Diagnostic,116,3480.82,403775.65,0.0,403775.65,0.0,403775.65,Paid,GL-INV-00030,Yuki Tanaka,International,PO-341292,
INV-00031,CUST-011,2026-01-23,2026-02-22,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,4,76652.81,306611.22,0.0,306611.22,0.0,306611.22,Short Pay - Open,GL-INV-00031,Sara Hill,Southeast,PO-170674,SCENARIO: Short pay; balance due 12800.21
INV-00032,CUST-011,2026-01-03,2026-02-02,2026-01,PROD-015,BioProcess Training Service,Professional Service,9,4459.64,40136.72,0.0,40136.72,0.0,40136.72,Paid,GL-INV-00032,Yuki Tanaka,Southeast,PO-392004,
INV-00033,CUST-011,2026-01-05,2026-02-04,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,16,20978.3,335652.84,0.0,335652.84,0.0,335652.84,Paid,GL-INV-00033,Yuki Tanaka,International,PO-595631,
INV-00034,CUST-011,2026-01-07,2026-02-06,2026-01,PROD-004,GenomiX Sequencing Panel,Diagnostic,61,4187.12,255414.45,0.0,255414.45,0.0,255414.45,Paid,GL-INV-00034,Sara Hill,Northeast,PO-790993,
INV-00035,CUST-011,2026-01-15,2026-02-14,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,2,12070.74,24141.47,0.0,24141.47,0.0,24141.47,Paid,GL-INV-00035,Sara Hill,Northeast,PO-163556,
INV-00036,CUST-011,2026-01-04,2026-02-03,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,1,13201.78,13201.78,0.0,13201.78,0.0,13201.78,Paid,GL-INV-00036,Tom Kane,Southeast,PO-299448,
INV-00037,CUST-011,2026-01-06,2026-02-05,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,1,23376.14,4191.73,0.0,4191.73,0.0,4191.73,Paid,GL-INV-00037,Nadia Osei,West,PO-361941,
INV-00038,CUST-012,2026-01-28,2026-02-27,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,114,9036.45,1030154.8,0.0,1030154.8,0.0,1030154.8,Paid,GL-INV-00038,Yuki Tanaka,Northeast,PO-153045,
INV-00039,CUST-012,2026-01-30,2026-03-01,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,1,25129.48,25129.48,0.0,25129.48,0.0,25129.48,Paid,GL-INV-00039,Tom Kane,Southeast,PO-526156,
INV-00040,CUST-012,2026-01-13,2026-02-12,2026-01,PROD-008,CytoGuard ELISA Kit,Diagnostic,247,743.68,183689.14,0.0,183689.14,0.0,183689.14,Open,GL-INV-00040,Sara Hill,Southeast,PO-497382,
INV-00041,CUST-012,2026-01-26,2026-02-25,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,25,4348.35,108708.84,0.0,108708.84,0.0,108708.84,Open,GL-INV-00041,Brett Long,Midwest,PO-543555,
INV-00042,CUST-012,2026-01-16,2026-02-15,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,9,3409.5,30685.47,0.0,30685.47,0.0,30685.47,Paid,GL-INV-00042,Tom Kane,Southeast,PO-411120,
INV-00043,CUST-013,2026-01-02,2026-02-01,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,32,4891.47,156527.12,0.0,156527.12,0.0,156527.12,Paid,GL-INV-00043,Sara Hill,International,PO-599948,
INV-00044,CUST-013,2026-01-31,2026-03-02,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,34,23483.95,798454.45,0.0,798454.45,0.0,798454.45,Paid,GL-INV-00044,Yuki Tanaka,Northeast,PO-992697,
INV-00045,CUST-013,2026-01-22,2026-02-21,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,18,1258.51,22653.19,0.0,22653.19,0.0,22653.19,Paid,GL-INV-00045,Tom Kane,West,PO-225710,
INV-00046,CUST-013,2026-01-02,2026-02-01,2026-01,PROD-015,BioProcess Training Service,Professional Service,32,4178.92,133725.41,0.0,133725.41,0.0,133725.41,Paid,GL-INV-00046,Yuki Tanaka,Northeast,PO-539589,
INV-00047,CUST-013,2026-01-11,2026-02-10,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,5,22908.75,114543.74,0.0,114543.74,0.0,114543.74,Paid,GL-INV-00047,Nadia Osei,Southeast,PO-802258,
INV-00048,CUST-013,2026-01-13,2026-02-12,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,3,3070.95,9212.85,0.0,9212.85,0.0,9212.85,Paid,GL-INV-00048,Tom Kane,Midwest,PO-579434,
INV-00049,CUST-013,2026-01-20,2026-02-19,2026-01,PROD-006,ProteaScreen Assay,Research Reagent,2,857.21,1714.42,0.0,1714.42,0.0,1714.42,Paid,GL-INV-00049,Yuki Tanaka,Northeast,PO-176819,
INV-00050,CUST-013,2026-01-05,2026-02-04,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,1,25661.78,7982.1,0.0,7982.1,0.0,7982.1,Paid,GL-INV-00050,Nadia Osei,Northeast,PO-356150,
INV-00051,CUST-014,2026-01-23,2026-03-09,2026-01,PROD-003,CellFlex Reagent Kit,Research Reagent,113,1330.12,150303.95,0.0,150303.95,0.0,150303.95,Paid,GL-INV-00051,Nadia Osei,International,PO-946305,
INV-00052,CUST-015,2026-01-10,2026-02-09,2026-01,PROD-001,NovaBio-Alpha 50mg Vial,Drug - Oncology,43,4969.24,213677.41,0.0,213677.41,0.0,213677.41,Open,GL-INV-00052,Sara Hill,Southeast,PO-377312,
INV-00053,CUST-016,2026-01-20,2026-03-06,2026-01,PROD-002,NovaBio-Alpha 100mg Vial,Drug - Oncology,5,7938.31,39691.57,0.0,39691.57,0.0,39691.57,Paid,GL-INV-00053,Tom Kane,Midwest,PO-313487,
INV-00054,CUST-017,2026-01-09,2026-02-23,2026-01,PROD-014,Clinical Trial Supply Kit,Clinical Supply,5,9750.35,48751.73,0.0,48751.73,0.0,48751.73,Paid,GL-INV-00054,Sara Hill,Northeast,PO-765095,
INV-00055,CUST-018,2026-01-25,2026-02-24,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,1,5855.76,5855.76,0.0,5855.76,0.0,5855.76,Paid,GL-INV-00055,Tom Kane,Midwest,PO-269430,
INV-00056,CUST-019,2026-01-01,2026-02-15,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,6,25173.04,151038.26,0.0,151038.26,0.0,151038.26,Paid,,Sara Hill,Northeast,PO-824586,SCENARIO: subledger entry exists; GL posting missing
INV-00057,CUST-020,2026-01-19,2026-02-18,2026-01,PROD-009,BioTrack Monitoring Software (Annual),Software,1,27716.22,27716.22,0.0,27716.22,0.0,27716.22,Paid,GL-INV-00057,Yuki Tanaka,Southeast,PO-550664,
INV-00058,CUST-021,2026-01-26,2026-02-25,2026-01,PROD-005,ImmunoBoost IV 200mg,Drug - Immunology,24,7310.84,175460.28,0.0,175460.28,0.0,175460.28,Paid,GL-INV-00058,Sara Hill,Midwest,PO-320281,
INV-00059,CUST-021,2026-01-12,2026-02-11,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,2,23468.13,46936.27,0.0,46936.27,0.0,46936.27,Paid,GL-INV-00059,Yuki Tanaka,West,PO-750810,
INV-00060,CUST-021,2026-01-08,2026-02-07,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,5,3620.61,18103.06,0.0,18103.06,0.0,18103.06,Paid,GL-INV-00060,Tom Kane,Southeast,PO-532322,
INV-00061,CUST-022,2026-01-14,2026-02-28,2026-01,PROD-012,PharmaGrade Excipient Bulk,Raw Material,43,3505.91,150754.1,0.0,150754.1,0.0,150754.1,Paid,GL-INV-00061,Tom Kane,Midwest,PO-266931,
INV-00062,CUST-022,2026-01-02,2026-02-16,2026-01,PROD-013,RegulatoryAI Platform License,Software,2,17921.44,35842.88,0.0,35842.88,0.0,35842.88,Paid,GL-INV-00062,Brett Long,Southeast,PO-309267,
INV-00063,CUST-022,2026-01-27,2026-03-13,2026-01,PROD-014,Clinical Trial Supply Kit,Clinical Supply,15,9380.44,140706.58,0.0,140706.58,0.0,140706.58,Paid,GL-INV-00063,Tom Kane,Southeast,PO-124813,
INV-00064,CUST-022,2026-01-09,2026-02-23,2026-01,PROD-011,NovaBio-Gamma 250mg,Drug - Neurology,1,21991.56,18477.91,0.0,18477.91,0.0,18477.91,Open,GL-INV-00064,Sara Hill,Midwest,PO-468203,
INV-00065,CUST-023,2026-01-18,2026-02-17,2026-01,PROD-007,NovaBio-Beta Infusion 500mg,Drug - Rare Disease,44,13743.45,604711.76,0.0,604711.76,0.0,604711.76,Paid,GL-INV-00065,Nadia Osei,Northeast,PO-220944,
INV-00066,CUST-023,2026-01-31,2026-03-02,2026-01,PROD-015,BioProcess Training Service,Professional Service,9,3778.57,34007.11,0.0,34007.11,0.0,34007.11,Paid,GL-INV-00066,Nadia Osei,Northeast,PO-213668,
INV-00067,CUST-023,2026-01-26,2026-02-25,2026-01,PROD-010,GeneTherapy Vector Lot,Cell & Gene Therapy,1,83845.85,52844.06,0.0,52844.06,0.0,52844.06,Paid,GL-INV-00067,Nadia Osei,West,PO-735656,
